user,books
0 ,YouthBks
0 ,DoItYBks
0 ,GeogBks
1 ,ChildBks
1 ,identity
3 ,ChildBks
3 ,YouthBks
3 ,CookBks
3 ,RefBks
3 ,GeogBks
4 ,CookBks
4 ,GeogBks
5 ,ChildBks
5 ,ArtBks
5 ,Florence
6 ,YouthBks
7 ,YouthBks
7 ,RefBks
8 ,ChildBks
8 ,DoItYBks
9 ,ChildBks
9 ,YouthBks
9 ,CookBks
9 ,GeogBks
11 ,CookBks
11 ,GeogBks
12 ,ChildBks
12 ,ArtBks
12 ,Florence
13 ,ChildBks
13 ,YouthBks
13 ,DoItYBks
13 ,RefBks
13 ,ArtBks
13 ,ItalAtlas
13 ,ItalArt
14 ,ChildBks
14 ,YouthBks
14 ,CookBks
15 ,ChildBks
15 ,YouthBks
15 ,CookBks
15 ,GeogBks
16 ,CookBks
17 ,CookBks
18 ,ChildBks
18 ,YouthBks
18 ,CookBks
18 ,DoItYBks
18 ,RefBks
18 ,ArtBks
18 ,GeogBks
19 ,ChildBks
19 ,YouthBks
19 ,CookBks
19 ,ArtBks
19 ,Florence
20 ,YouthBks
21 ,ChildBks
23 ,CookBks
23 ,GeogBks
24 ,CookBks
25 ,YouthBks
25 ,CookBks
25 ,DoItYBks
25 ,ArtBks
25 ,GeogBks
26 ,ChildBks
26 ,CookBks
26 ,DoItYBks
26 ,RefBks
26 ,GeogBks
26 ,ItalCook
27 ,Florence
28 ,ChildBks
28 ,CookBks
28 ,RefBks
28 ,ArtBks
28 ,GeogBks
28 ,ItalCook
28 ,ItalAtlas
28 ,ItalArt
29 ,CookBks
30 ,ChildBks
30 ,YouthBks
30 ,GeogBks
32 ,CookBks
32 ,DoItYBks
32 ,ArtBks
32 ,ItalArt
33 ,CookBks
33 ,DoItYBks
33 ,GeogBks
33 ,ItalCook
35 ,ChildBks
35 ,YouthBks
35 ,CookBks
35 ,RefBks
35 ,ArtBks
35 ,GeogBks
35 ,ItalCook
36 ,CookBks
36 ,ItalCook
37 ,DoItYBks
38 ,CookBks
40 ,ChildBks
40 ,CookBks
40 ,DoItYBks
40 ,RefBks
40 ,GeogBks
41 ,DoItYBks
42 ,ChildBks
42 ,CookBks
42 ,DoItYBks
42 ,ArtBks
43 ,ChildBks
43 ,YouthBks
43 ,DoItYBks
43 ,RefBks
43 ,ArtBks
44 ,ArtBks
46 ,ChildBks
46 ,CookBks
47 ,ChildBks
48 ,ChildBks
48 ,YouthBks
48 ,CookBks
48 ,DoItYBks
48 ,RefBks
48 ,ArtBks
48 ,GeogBks
48 ,ItalCook
50 ,ChildBks
50 ,CookBks
50 ,DoItYBks
50 ,ArtBks
52 ,ChildBks
52 ,CookBks
52 ,DoItYBks
52 ,RefBks
52 ,ArtBks
52 ,GeogBks
52 ,ItalCook
52 ,ItalAtlas
52 ,ItalArt
54 ,ChildBks
54 ,CookBks
54 ,ArtBks
54 ,GeogBks
55 ,ChildBks
55 ,CookBks
55 ,DoItYBks
55 ,ArtBks
56 ,ChildBks
56 ,CookBks
56 ,DoItYBks
56 ,ArtBks
