,Ozone,Solar,Wind,Temp in C,Month,Day,Year,Temp,Weather
0,41.0,190.0,7.4,67.0,5.0,1,2010,67,S
1,36.0,118.0,8.0,72.0,5.0,2,2010,72,C
2,12.0,149.0,12.6,74.0,5.0,3,2010,74,PS
3,18.0,313.0,11.5,62.0,5.0,4,2010,62,S
6,23.0,299.0,8.6,65.0,5.0,7,2010,65,PS
7,19.0,99.0,13.8,59.0,5.0,8,2010,59,C
8,8.0,19.0,20.1,61.0,5.0,9,2010,61,PS
11,16.0,256.0,9.7,69.0,5.0,12,2010,69,PS
12,11.0,290.0,9.2,66.0,5.0,13,2010,66,S
13,14.0,274.0,10.9,68.0,5.0,14,2010,68,S
14,18.0,65.0,13.2,58.0,5.0,15,2010,58,C
15,14.0,334.0,11.5,64.0,5.0,16,2010,64,S
16,34.0,307.0,12.0,66.0,5.0,17,2010,66,S
17,6.0,78.0,18.4,57.0,5.0,18,2010,57,C
18,30.0,322.0,11.5,68.0,5.0,19,2010,68,PS
19,11.0,44.0,9.7,62.0,5.0,20,2010,62,S
20,1.0,8.0,9.7,59.0,5.0,21,2010,59,S
21,11.0,320.0,16.6,73.0,5.0,22,2010,73,C
22,4.0,25.0,9.7,61.0,5.0,23,2010,61,PS
27,23.0,13.0,12.0,67.0,5.0,28,2010,67,S
28,45.0,252.0,14.9,81.0,5.0,29,2010,81,S
29,115.0,223.0,5.7,79.0,5.0,30,2010,79,C
30,37.0,279.0,7.4,76.0,5.0,31,2010,76,PS
37,29.0,127.0,9.7,82.0,6.0,7,2010,82,PS
39,71.0,291.0,13.8,90.0,6.0,9,2010,90,S
40,39.0,323.0,11.5,87.0,6.0,10,2010,87,S
43,23.0,148.0,8.0,82.0,6.0,13,2010,82,S
46,21.0,191.0,14.9,77.0,6.0,16,2010,77,PS
47,37.0,284.0,20.7,72.0,6.0,17,2010,72,C
48,20.0,37.0,9.2,65.0,6.0,18,2010,65,PS
49,12.0,120.0,11.5,73.0,6.0,19,2010,73,S
50,13.0,137.0,10.3,76.0,6.0,20,2010,76,S
61,135.0,269.0,4.1,84.0,7.0,1,2010,84,S
62,49.0,248.0,9.2,85.0,7.0,2,2010,85,C
63,32.0,236.0,9.2,81.0,7.0,3,2010,81,PS
65,64.0,175.0,4.6,83.0,7.0,5,2010,83,S
66,40.0,314.0,10.9,83.0,7.0,6,2010,83,C
67,77.0,276.0,5.1,88.0,7.0,7,2010,88,C
68,97.0,267.0,6.3,92.0,7.0,8,2010,92,PS
